customer_id,order_cnt,max_order_date,total_order_value,day_since_last_order,recency_score,frequency_score,monetary_score,segment
12346,5,2010-10-04,602.4,80,2,4,3,At Risk
12608,1,2010-10-31,415.79,53,3,1,2,About to Sleep
12745,2,2010-08-10,723.85,135,2,2,3,Hibernating
12746,2,2010-06-30,266.35,176,1,2,2,Hibernating
12747,19,2010-12-13,4094.79,10,5,5,5,Champion
12748,163,2010-12-23,21157.23,0,5,5,5,Champion
12749,8,2010-11-19,3152.67,34,4,5,5,Loyal Customers
12777,1,2010-09-08,519.45,106,2,1,3,Hibernating
12819,1,2010-09-07,540.52,107,2,1,3,Hibernating
12820,8,2010-11-07,1640.46,46,3,5,4,Loyal Customers
12821,1,2010-04-07,128.07999999999998,260,1,1,1,Hibernating
12823,4,2010-07-01,762.0,175,1,3,3,At Risk
12825,2,2010-07-06,518.63,170,1,2,3,Hibernating
12826,7,2010-12-09,1043.29,14,5,4,4,Champion
12829,2,2010-12-14,178.05,9,5,2,1,Potential Loyalists
12831,2,2010-09-02,236.06,112,2,2,1,Hibernating
12835,43,2010-10-17,5013.24,67,3,5,5,Loyal Customers
12836,12,2010-11-15,3588.04,38,4,5,5,Loyal Customers
12837,1,2010-05-19,554.31,218,1,1,3,Hibernating
12838,11,2010-12-01,2737.8,22,4,5,5,Loyal Customers
12839,14,2010-12-17,3981.47,6,5,5,5,Champion
12840,5,2010-09-28,1330.8,86,2,4,4,At Risk
12841,18,2010-12-05,3522.58,18,5,5,5,Champion
12842,1,2010-10-31,401.8,53,3,1,2,About to Sleep
12843,24,2010-11-22,4697.61,31,4,5,5,Loyal Customers
12844,2,2010-09-23,322.64,91,2,2,2,Hibernating
12846,1,2010-01-26,15.58,331,1,1,1,Hibernating
12847,1,2010-11-17,765.36,36,4,1,3,Promising
12848,1,2010-02-02,208.0,324,1,1,1,Hibernating
12849,4,2010-11-23,2039.67,30,4,3,5,Potential Loyalists
12850,1,2010-09-20,330.0,94,2,1,2,Hibernating
12851,1,2010-08-19,148.95,126,2,1,1,Hibernating
12853,7,2010-10-14,2054.0,70,3,4,5,Loyal Customers
12854,5,2010-05-27,1180.48,210,1,4,4,At Risk
12855,4,2010-12-02,612.84,21,5,3,3,Potential Loyalists
12857,5,2010-09-29,2585.35,85,2,4,5,At Risk
12858,2,2010-11-21,204.10999999999999,32,4,2,1,Potential Loyalists
12859,1,2010-09-07,575.1,107,2,1,3,Hibernating
12860,1,2010-01-15,55.47,342,1,1,1,Hibernating
12861,1,2010-03-30,68.25,268,1,1,1,Hibernating
12862,2,2010-10-10,1008.3199999999999,74,3,2,4,About to Sleep
12863,5,2010-11-25,1863.35,28,4,4,4,Loyal Customers
12864,1,2010-07-19,152.45,157,2,1,1,Hibernating
12867,7,2010-12-14,3951.87,9,5,4,5,Champion
12868,3,2010-12-01,640.0,22,4,3,3,Potential Loyalists
12869,1,2010-01-27,337.66999999999996,330,1,1,2,Hibernating
12870,4,2010-12-08,1691.8500000000001,15,5,3,4,Potential Loyalists
12871,1,2010-09-26,363.38,88,2,1,2,Hibernating
12872,11,2010-12-09,2685.45,14,5,5,5,Champion
12873,2,2010-11-07,1653.3,46,3,2,4,About to Sleep
12877,9,2010-12-16,1569.46,7,5,5,4,Champion
12880,2,2010-11-23,640.13,30,4,2,3,Potential Loyalists
12887,1,2010-11-21,222.4,32,4,1,1,Promising
12889,6,2010-11-23,405.26,30,4,4,2,Loyal Customers
12890,1,2010-11-17,336.8,36,4,1,2,Promising
12891,8,2010-09-07,326.5,107,2,5,2,Can't Lose Them
12892,1,2010-11-08,263.38,45,3,1,2,About to Sleep
12894,1,2010-05-13,157.35,224,1,1,1,Hibernating
12897,2,2010-11-23,297.75,30,4,2,2,Potential Loyalists
12898,2,2010-09-02,310.96000000000004,112,2,2,2,Hibernating
12899,1,2010-10-22,366.4,62,3,1,2,About to Sleep
12900,1,2010-10-13,340.33,71,3,1,2,About to Sleep
12903,1,2010-10-07,833.53,77,2,1,3,Hibernating
12905,3,2010-05-12,1025.02,225,1,3,4,At Risk
12907,3,2010-11-09,577.46,44,3,3,3,Need Attention
12909,5,2010-10-13,943.1,71,3,4,4,Loyal Customers
12910,6,2010-11-25,2678.82,28,4,4,5,Loyal Customers
